registration_id_expected,boat_number_official,public_name,class,group,crew_entries,licence_valid_entries,paid_yes_entries,complete_entries,exception_entries,registration_id_mismatch_entries,observation_categories,exceptions_summary,source_file,source_sha256,classification
E18,14,FUNBEL-NACEX,ANC,ANC-A,8,8,8,8,0,0,completo:8,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E43,32,GRAOULLY,ANC,ANC-A,6,6,6,6,0,0,completo:6,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E01,35,Häcker Kitchen,ANC,ANC-A,8,8,8,8,0,0,completo:8,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E13,11,IBERO'S,ANC,,8,8,8,8,0,0,completo:8,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E23,33,Jotocassy,ANC,ANC-B,3,3,3,3,0,0,completo:3,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E39,28,KAMBA,ANC,ANC-B,7,7,7,7,0,0,completo:7,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E15,8,Knot Work,ANC,ANC-A,5,5,5,5,0,0,completo:5,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E36,15,MADRAÇO,ANC,ANC-A,6,6,6,6,0,0,completo:6,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E06,9,MAKAI,ORC,,8,8,8,8,0,0,completo:8,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E25,22,Mar de Levante,ANC,ANC-A,7,7,7,6,1,1,completo:6 | faturacao_pendente:1,1_observacao_nao_completa | 1_registo_incorreto_na_fonte,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E10,13,Mar Me Quer,ANC,ANC-B,5,5,5,5,0,0,completo:5,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E14,5,MAR MEU,ORC,,7,7,7,7,0,0,completo:7,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E24,25,Papa Léguas II,ORC,,9,9,9,9,0,0,completo:9,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E17,12,PEDE MAR/guronsan,ANC,ANC-A,8,8,8,8,0,0,completo:8,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E34,24,Playtime,ANC,ANC-A,6,6,6,6,0,0,completo:6,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E28,3,Pocket Rocket,ORC,,6,6,6,6,0,0,completo:6,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E12,4,SENSIA,ANC,ANC-A,8,8,8,8,0,0,completo:8,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E26,7,Sete Estrelo,ANC,ANC-A,6,6,6,6,0,0,completo:6,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E44,34,Veritas,ANC,ANC-B,8,8,8,8,0,0,completo:8,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E11,27,YEMAYA,ORC,,9,9,9,9,0,0,completo:9,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
